"","Obs","Pow","Multi","Power_weight","rows","Lee_Pow","Lee_Mult","Best_mod","Best","LEE_Best","Best_pred","Best_pred2"
"1",20,15.6955450178629,39.3809849282474,0.137804056963449,26,-0.105253594765177,0.294256578087174,"linear",39.8368488788238,0.299254982464627,1,1
"2",27,30.2578814223558,26.5413617822474,0.0891704712760807,6,0.0494747524300101,-0.00744056230942536,"negexpo",23.4962160315267,-0.0603658375871845,0,2
"3",35,38.4483227523716,39.3129929650282,0.203225210650951,6,0.0408093547864552,0.0504680643061393,"power",38.4483227523716,0.0408093547864552,1,3
"4",34,42.344149279788,42.0654577892996,0.158549346770384,12,0.0953144950025921,0.0924467025682207,"monod",38.8674624707473,0.0581072708510262,0,3
"5",42,56.2440626156826,53.1131483748267,0.145643585163174,11,0.126827392663824,0.101952755349766,"monod",46.8180779674814,0.0471642901448759,0,3
"6",73,67.378574078173,55.9815456300806,0.0689800304693102,15,-0.0348010442817335,-0.115277975112349,"koba",60.2462958574471,-0.0833925099212454,1,1
"7",33,34.8686855825547,29.6576855231191,0.0287686332951138,6,0.0239216365487742,-0.0463766840742033,"negexpo",28.5417395217479,-0.063033501524127,1,1
"8",40,52.8792586722883,38.9886451005008,0.0616214892963365,11,0.121225366708032,-0.0111218481020221,"loga",44.2743292984457,0.0440919995575195,0,2
"9",44,150.584513055046,60.0804326941309,0.032209221155618,10,0.534327632426388,0.135280375272853,"negexpo",41.1587313106071,-0.0289906970161604,0,3
"10",5,25.033908224663,16.4626637321964,0.166384201798969,7,0.699558651421137,0.517530103004256,"loga",7.91666666666667,0.199572354905204,0,3
"11",20,18.1813913778448,13.3562818102037,NA,43,-0.0414028800014608,-0.175344421810156,"logistic",13.6348939242892,-0.16637823206437,1,1
"12",9,18.3968313076632,20.0845250103778,0.180168205332229,13,0.310500516608016,0.348619055888454,"linear",24.5303672135673,0.435461540097361,1,1
"13",8,7.09934199603346,6.92915626038995,0.169167815344776,10,-0.0518718890805497,-0.062409631711371,"loga",6.96180213653478,-0.0603683110819156,1,1
"14",10,16.1255176207064,20.9296427543087,0.15788986878682,15,0.207513664157445,0.320761815478843,"linear",25.0640652396029,0.399051512306248,1,1
"15",113,147.569706139915,86.1572379791685,0.279891326975268,10,0.115918768972505,-0.117786675542995,"power",147.5876498929,0.115971573842559,0,2
"16",78,90.3570674013201,66148.3693648886,NA,24,0.0638675244705049,2.92842454009518,"linear",2728.21282335498,1.54378364320727,1,1
"17",36,33.0207467313274,140.286359874913,0.188425380979701,12,-0.0375156105919345,0.590712945606494,"power",33.0207467313274,-0.0375156105919345,1,3
"18",41,40.2263986971677,39.9863932293778,0.346688996452278,7,-0.00827270299401328,-0.0108716241596369,"power",40.2263986971677,-0.00827270299401328,1,3
"19",6,4.60017978244474,7.65177072515996,NA,9,-0.115376445441645,0.105610698126654,"epm2",8.06051408590636,0.128211490869646,1,1
"20",4,4.19111431395744,6.28694946022183,0.177323371573794,7,0.0202695151856386,0.196379977812586,"linear",7.72891403861346,0.286058485750844,1,1
"21",37,42.7276722705959,31.3470731056519,0.0193952044411016,46,0.0625075097852674,-0.0720047273342601,"koba",32.6577479901622,-0.0542154906708345,0,3
"22",6,7.44803468992457,6.1246390799986,0.110821896950044,26,0.0938904403618946,0.0089292507862534,"loga",5.35234936498567,-0.0496067969068598,0,2
"23",47,85.3963931070574,73.5886590523003,NA,24,0.259341669816724,0.194713031258948,"koba",68.7727710614485,0.16531866578758,0,3
"24",20,23.3594766838492,33.8989061749319,NA,36,0.0674331135014516,0.229155689269032,"linear",39.5605525575369,0.296232353262508,1,1
"25",11,9.11329912737596,7.33120474960224,0.189047234640176,24,-0.0817170597287192,-0.176217336286338,"koba",7.96388229651165,-0.14026785248106,1,1
"27",10,12.8510720414954,10.899276421607,0.255059509272897,11,0.108939358195389,0.0373976670659319,"koba",8.27435646941155,-0.0822657730992453,0,2
"28",6,6.3455529576897,7.32521447237762,0.256354684058853,17,0.0243182225419198,0.0866690943840106,"negexpo",4.99908959890969,-0.0792603296815939,1,1
"29",15,20.2255883518402,17.7305898412412,0.0833320952970577,56,0.129809904812863,0.0726319244039679,"koba",18.3996376846077,0.0887180121535944,0,2
"30",13,21.9497773927263,20.5012409099821,0.152516204311479,27,0.227486767824797,0.19783679675123,"power",21.9497773927263,0.227486767824797,0,2
"31",42,23.9825706758542,19.1734129300605,0.197181924386739,25,-0.243353557402319,-0.340549864803882,"loga",17.9237438874278,-0.369820560751155,1,1
"32",15,21.6212843584722,11.8678629097166,NA,22,0.158790229508413,-0.101718738085756,"monod",15.6515471485874,0.0184660147682352,0,3
"33",111,103.180691532906,106.787617174723,0.178861850700839,9,-0.0317245445310244,-0.016802082877581,"monod",93.0117134475658,-0.0767853338315727,0,2
"34",9,7.86007683942801,5.98274961198524,0.0223880363079021,15,-0.0588157177540566,-0.177341682162819,"monod",5.59149226827934,-0.206714780731684,1,1
"35",35,38.0738878747422,24.5640140011839,0.0187222943441542,19,0.0365591822496218,-0.153768708097596,"p1",7.17951505994017,-0.687972933520871,1,1
"36",25,23.9589110502237,18.3742650143761,0.00289337212100033,14,-0.0184729335034348,-0.133730032702732,"monod",15.9609852253799,-0.19488031308967,1,1
"37",33,28.4399247353014,139.88555380653,0.15148837242083,11,-0.0645854971551285,0.627258926679309,"linear",35.9938525464368,0.037714393302243,1,3
"38",39,40.3550401988323,40.0098806687479,0.76906563784285,9,0.0148331772320882,0.0111026490517832,"power",40.3550401988323,0.0148331772320882,0,2
"39",6,8.04511967628132,5.88958468880742,0.0145654088326804,8,0.127381258506596,-0.00806657931784416,"monod",5.82393589873241,-0.0129346641233056,0,2
"40",45,48.7021636446798,5.42391252262479e+216,0.14293322869638,9,0.0343357418555592,215.081100162798,"negexpo",36.0812675692759,-0.0959307274588743,1,1
"41",57,56.2838900459796,48.2032089729306,0.132823282893541,9,-0.0054907497257064,-0.0727989047189779,"negexpo",33.0543582775434,-0.236646125554335,1,1
"42",592,370.960730699074,346.49029387589,0.0743154677476321,7,-0.20299376838374,-0.232630633360036,"negexpo",335.789040934851,-0.246255188652834,1,1
"43",30,36.2006815878981,20.5468479319337,NA,18,0.0815954928045644,-0.164376048009524,"monod",21.3278515514273,-0.14817414546591,1,1
"44",89,181.909894315048,2751.32929285846,0.0166596822330351,17,0.310466314901057,1.49015256539251,"powerR",885.315082813291,0.997707856565769,1,1
"45",9,7.30428393171989,5.33481822732056,NA,14,-0.0906648627139442,-0.227122883095243,"koba",5.03506929266725,-0.252237057744137,1,1
"46",139,105.286486940436,97.990441350555,0.442538415611003,14,-0.120642165286973,-0.151831086512347,"power",105.29435073791,-0.120609729250634,1,3
"47",7,5.62756842295084,3.97832362485567,NA,14,-0.0947772559277789,-0.245397931217729,"koba",4.45345289727679,-0.19640117672976,1,1
"48",110,136.959321639455,54.58662822358,NA,36,0.09519891111636,-0.304306416078829,"p1",25.3731014322131,-0.637019129541823,1,1
"49",99,115.782544590441,140.465828695624,NA,13,0.0680078953684513,0.151935491110408,"linear",143.900395550331,0.162426793120085,1,1
"50",84,88.7457812518915,69.1625515410715,0.0693322664427335,28,0.0238684309038764,-0.0844082791961576,"koba",74.2304317116984,-0.0536972997182339,1,1
"51",31,41.0582718159412,47.6928840327326,0.148068527579783,14,0.122038971692367,0.187091891581983,"linear",59.2231621500629,0.281129898473645,1,1
"52",22,26.8433571547342,22.0888272565628,0.0563155685936613,21,0.0864141489534531,0.00174997803141252,"monod",21.053816424173,-0.0190918489770402,0,2
"53",12,12.0970045982773,8.90571993837503,0.00275674138354342,21,0.0034965996832419,-0.129512212464498,"negexpo",8.98671122844216,-0.125580459393039,1,1
"54",288,180.706913333357,159.229540988327,0.111382430525315,21,-0.202417720006846,-0.257368844595932,"monod",141.826449170801,-0.307635257915109,1,1
"55",67,79.1531355623833,70.7046082668571,0.0781298689274803,20,0.0723933209254464,0.0233729177388677,"loga",73.9614869983377,0.042930831380154,0,2
"56",58,54.5189008880827,47.6410499119806,0.0950587095369691,10,-0.026880901775435,-0.0854466696784091,"negexpo",55.784392833755,-0.016915283053093,1,3
"57",27,40.4155050373317,31.8077676114582,0.100692240051318,17,0.175184246009008,0.0711694256007989,"logistic",24.0584550462364,-0.0500960292032675,0,3
"58",48,41.7913193985941,41.8126693179176,0.429792381147552,19,-0.060155154854036,-0.0599333436104528,"power",41.7913193985941,-0.060155154854036,0,2
"59",51,61.4985418174246,53.1324598481282,0.14172981375504,7,0.0812946423091248,0.0177897466015386,"loga",52.1554256273797,0.00972931782407471,0,3
"60",138,152.024610549073,144.503013027942,0.146899623546851,58,0.0420348131256354,0.019997816246808,"power",152.024610549073,0.0420348131256354,0,2
"61",15,12.7114471798684,5149728571.90064,0.0639635664836936,23,-0.0718962618885504,8.53569308011516,"negexpo",6.17158179238546,-0.385694769955712,1,1
"62",9,7.02317628971373,6.87426340386775,0.119010310019565,12,-0.107708939600713,-0.117016340285981,"negexpo",6.51969227770167,-0.140015411445127,1,1
"63",20,23.7599919755514,18.7660628757376,NA,18,0.074816293971171,-0.0276568285671355,"asymp",18.7086121659763,-0.0289884236109739,0,2
"64",8,8.92090259753832,10.9409271098968,0.154334442292819,18,0.0473188105791454,0.13596413771593,"loga",8.54675414367804,0.0287112242118798,1,3
"65",10,17.4873711678844,16.328525253957,0.567895171105337,11,0.242724527998355,0.212946962263264,"power",17.4873711678844,0.242724527998355,0,2
"66",114,114.092242718484,129.051518699048,0.164702671175211,9,0.000351265832980729,0.0538582684208677,"linear",153.898944097997,0.130330788806985,1,1
"67",16,15.9862446295059,17.4814474779405,0.195957026290351,6,-0.000373528179977711,0.0384574070644215,"linear",24.185905687533,0.17944237236122,1,1
"68",4,4.27143981447576,3.73955148160683,0.152464904067605,20,0.0285143001095844,-0.0292404748879447,"koba",3.86141599297898,-0.0153134003427544,0,3
"69",103,89.9309657429632,146.593760922883,0.0887620989385883,12,-0.0589279675022334,0.153278262281903,"linear",176.620656024657,0.234204268833844,1,1
"70",13,11.9278180202899,15.4958327415248,0.101594847875131,21,-0.037382347732692,0.0762715677541879,"linear",20.8782750782812,0.205751262955912,1,1
"71",19,31.0348331619232,26.8737715599735,0.119553521792351,12,0.213095814080303,0.150575020178523,"negexpo",22.2895530858468,0.0693477598425094,0,3
"72",89,139.19038795499,132.104299143879,0.201133146801983,13,0.194219238670998,0.171526944687118,"power",139.19038795499,0.194219238670998,0,2
"73",28,29.4608096085428,29.5820836259715,0.290951005942737,7,0.0220866461165767,0.0238707291027063,"loga",29.2191111039646,0.018508968465671,1,3
"74",35,34.3242477403025,34.3992374034583,0.23021221927461,6,-0.00846701645504755,-0.0075192295444737,"power",34.3242477403025,-0.00846701645504755,0,2
"75",38,52.5794451990733,53.9580014752902,0.244043726632676,11,0.141032402645884,0.152272259054536,"power",52.5794451990733,0.141032402645884,1,3
"76",14,8.90506281560261,7.08658264099363,NA,20,-0.196491048389546,-0.295691179613606,"loga",8.41254653933936,-0.221200555864051,1,1
"77",42,46.3377345140655,44.6207362886855,0.128197235552662,13,0.042685506598324,0.0262874419209389,"monod",44.7719418238552,0.0277566403736793,0,2
"78",55,65.5926563970581,62.7026900391128,0.196950452274092,23,0.0764925299917689,0.0569234836184851,"koba",62.2407636470634,0.0537122229846767,0,3
"79",26,37.9843875472507,30.7356403347388,0.396250648791075,9,0.164631780347641,0.0726689175077524,"power",37.9843875472507,0.164631780347641,0,2
"80",49,21.7294696993608,17.8241169209599,NA,6,-0.35314695239421,-0.439188057681583,"loga",18.2815088619507,-0.428184042712964,1,1
"81",16,18.9240638302326,18.286262133895,0.0983129595539118,9,0.0728944215837959,0.0580049584397468,"negexpo",18.4861048511313,0.0627254293216579,0,2
"82",45,36.9443537710355,35.5257958658616,0.221046491770149,9,-0.085664439473546,-0.102668697794263,"power",36.9443537710355,-0.085664439473546,1,3
"83",18,43.767614302573,49.1094027981994,0.242785450785939,8,0.385880369509227,0.435892147761274,"linear",64.1189577039275,0.551713948892089,1,1
"84",28,22.8186464546913,21.3756351586121,0.213631580306044,20,-0.0888681517636492,-0.117239003063316,"power",22.8186464546913,-0.0888681517636492,1,3
"85",20,19.3648642139825,16.977485421455,0.179462057532359,8,-0.0140155395949073,-0.0711566294531529,"power",19.3648642139825,-0.0140155395949073,1,3
"86",31,23.9750816895967,22.949924961301,0.172748219716934,8,-0.111601598230127,-0.130580423958647,"loga",23.2606850509962,-0.124739192836238,1,1
"87",15,19.1835061757549,16.8608201893963,0.104086148128736,15,0.106836727179437,0.050787437867982,"monod",15.568096886867,0.0161442666756864,0,3
"88",74,117.88827167556,95.0547552895233,0.163668212685198,17,0.202238880954035,0.108742128396749,"power",117.88827167556,0.202238880954035,0,2
"89",14,17.1492154706172,60.8530709443783,0.0169163188131082,9,0.0881162213783844,0.638154464070176,"linear",61.8208276519904,0.64500677938561,1,1
"90",50,58.8484998846396,450.569481691046,NA,39,0.0707653923230134,0.954791768089458,"linear",142.439411579953,0.454660166590746,1,1
"91",59,96.250241559597,59.8157418196591,0.0447377408964552,25,0.212549816490273,0.00596348147228154,"monod",57.6386206183977,-0.010138432716474,0,2
"92",18,24.6891975445618,22.2147428973624,0.15168459260432,21,0.137234469493176,0.0913687861894092,"loga",21.0362896458444,0.0676966368216236,0,3
"93",37,37.9870314813958,42.8851087414823,NA,9,0.0114336326195754,0.0641047915654192,"linear",57.0564925036389,0.188103346213486,1,1
"94",29,49.9860156023035,27.183546975872,NA,33,0.236450522512429,-0.0280918739960558,"negexpo",27.8780809095483,-0.0171351237053943,0,3
"95",17,8.51541725582079,8.44197252799536,0.135075487462766,24,-0.300242988109514,-0.304004986845769,"power",8.51541725582079,-0.300242988109514,1,3
"96",6,10.0460094864514,10.1729739741471,0.149626125028301,33,0.22384233354456,0.229296683045713,"power",10.0460094864514,0.22384233354456,1,3
"97",33,35.5220104279013,29.8932753916264,0.163562445119258,21,0.0319835975506231,-0.042940436796582,"loga",29.6501390474954,-0.0464872055024501,1,1
"98",17,17.5371442744042,16.0667511867236,0.0826118604947488,14,0.0135099534646907,-0.024520853222294,"monod",15.3811258916113,-0.0434607945853307,1,1
"99",82,39.1551394389636,35.9337251475557,0.147604338987536,9,-0.32102507747151,-0.358311610765823,"monod",32.7690822948521,-0.398349573340752,1,1
"100",40,45.8740770959092,30.9814074572433,NA,39,0.0595073487946198,-0.110958847852168,"logistic",29.6700898402469,-0.129741129976931,1,1
"101",30,41.802354276435,34.8112217805521,0.151886591831553,37,0.144079486875284,0.0645980114040461,"power",41.802354276435,0.144079486875284,0,2
"102",34,29.7254730107939,29.7975716581069,0.337794489691357,39,-0.058350142924168,-0.0572980441893534,"power",29.7254730107939,-0.058350142924168,0,2
"103",32,30.7735409158887,18.7757155800146,0.0052381716559803,35,-0.0169725076897529,-0.231553480498318,"p1",9.52037712538295,-0.526495826129883,1,1
"104",8,11.5308330688792,9.46123799825394,0.07061796568077,14,0.158770697939146,0.0728579803435446,"negexpo",8.3746406885159,0.0198761958402401,0,3
"105",94,108.173998520804,116.837252199025,0.141342032505711,16,0.0609950295740271,0.0944534810007414,"linear",142.232312748659,0.179870418281111,1,1
"106",23,27.1194791740344,24.7720144487483,0.0615205705814387,25,0.0715535086901589,0.0322334886305262,"negexpo",23.7673476108275,0.0142528820061287,0,3
"107",73,62.4963767359517,45.3245972403583,0.0407551399638251,41,-0.067468020523515,-0.206988906527032,"logistic",41.5104006340305,-0.245165935166194,1,1
"108",9,4.08649301762388,3.96008203044682,0.120148015506704,13,-0.342891748240057,-0.356538327301332,"negexpo",3.86514067413861,-0.367077204486312,1,1
"109",5,9.04255387122162,4.9834765073851,0.0974106351575192,41,0.25732110042466,-0.00143758904257318,"koba",5.7952683414787,0.064103545804033,0,2
"110",7,8.7257988188555,19.0087114793612,0.0824668449987216,20,0.0957071557018518,0.433854638851755,"p2",19.6772502288467,0.448866368416626,1,1
"111",69,88.3958530209888,79.8625449024406,0.211965913417324,14,0.107582800380495,0.0634940545835851,"logistic",71.7795093891606,0.0171513948800759,0,3
"112",58,62.5167505508127,58.687781253903,0.179205022061615,27,0.0325684029351034,0.00511969735460371,"ratio",49.5260664618283,-0.0685941574391675,0,2
"113",49,36.9434130973871,37.5482690827213,0.293068668996939,6,-0.1226590638326,-0.115606158532515,"loga",36.6496212018695,-0.126126589749538,0,2
"114",36,36.5833341120158,36.0172855569862,0.315731890321631,7,0.00698078267124158,0.000208478342437424,"power",36.5833341120158,0.00698078267124158,0,2
"115",24,27.1061214743949,25.9771047148749,0.144913422695569,22,0.0528561385479018,0.0343795033155099,"loga",26.6944032970747,0.0462089757586244,0,2
"116",109,95.5746973443276,109.490455789173,0.120932871340976,20,-0.0570835665244369,0.0019497657218186,"linear",139.062515667637,0.105783583650688,0,2
"117",23,28.136461877391,24.453694893567,0.164552072113398,20,0.0875416485618292,0.026616653235513,"power",28.136461877391,0.0875416485618292,0,2
"118",20,13.4826385938705,25.7112008294474,0.170214322071229,8,-0.171255102380114,0.109092364970478,"loga",12.9124235095439,-0.190022233797012,0,2
"119",9,9.88497550113682,10.4562942616336,0.187240700939645,12,0.0407330878588966,0.0651352872453917,"linear",13.0404691652127,0.161050707125104,1,1
"120",33,31.9223315478758,33.8804779212385,0.133014163059436,19,-0.0144193359774722,0.011435588023188,"linear",39.1238999076045,0.0739281992830376,0,2
